moran_I;moran_p;moran_mc_p;geary_C;geary_p;AD_p;BP_p;LMlag_robust_p;LMerr_robust_p;RESET_p
-0,02;0,76;0,73;1,05;0,89;1,17E-01;2,82E-01;NA;NA;2,57E-01
0,00;0,41;0,31;1,03;0,81;1,16E-01;NA;NA;NA;2,57E-01
-0,02;0,82;0,83;1,04;0,89;6,59E-01;NA;NA;NA;2,57E-01
0,02;0,00;0,01;0,99;0,21;3,70E-24;9,99E-22;NA;NA;2,71E-11
0,00;0,52;0,51;1,01;0,93;3,70E-24;NA;NA;NA;2,71E-11
0,00;0,42;0,38;1,01;0,92;3,70E-24;NA;NA;NA;2,71E-11
0,03;0,00;0,01;0,99;0,20;3,70E-24;7,09E-18;NA;NA;2,72E-38
0,00;0,61;0,58;1,02;1,00;3,70E-24;NA;NA;NA;2,72E-38
0,00;0,52;0,45;1,02;1,00;3,70E-24;NA;NA;NA;2,72E-38
0,01;0,18;0,19;1,04;0,99;3,70E-24;1,18E-11;NA;NA;3,40E-18
0,00;0,45;0,46;1,04;1,00;3,70E-24;NA;NA;NA;3,40E-18
0,00;0,50;0,52;1,04;1,00;3,70E-24;NA;NA;NA;3,40E-18
0,00;0,42;0,36;1,04;0,92;3,27E-02;7,77E-02;NA;NA;1,29E-02
0,00;0,41;0,35;1,04;0,91;3,31E-02;NA;NA;NA;1,29E-02
-0,02;0,78;0,74;1,08;1,00;4,61E-01;NA;NA;NA;1,29E-02
0,02;0,00;0,01;0,98;0,01;3,70E-24;1,65E-23;NA;NA;8,08E-22
0,00;0,46;0,49;1,00;0,58;3,70E-24;NA;NA;NA;8,08E-22
0,00;0,48;0,5;1,00;0,60;3,70E-24;NA;NA;NA;8,08E-22
0,02;0,00;0,01;0,99;0,00;3,70E-24;2,97E-69;NA;NA;1,00E-26
0,00;0,55;0,53;1,00;0,63;3,70E-24;NA;NA;NA;1,00E-26
0,00;0,64;0,64;1,00;0,63;3,70E-24;NA;NA;NA;1,00E-26
0,02;0,00;0,01;0,99;0,15;3,70E-24;2,47E-12;NA;NA;2,16E-17
0,00;0,45;0,42;1,01;0,82;3,70E-24;NA;NA;NA;2,16E-17
0,00;0,44;0,39;1,01;0,86;3,70E-24;NA;NA;NA;2,16E-17
-0,03;0,65;0,62;0,98;0,38;8,61E-02;9,66E-01;NA;NA;8,72E-03
-0,01;0,51;0,44;0,97;0,27;1,76E-01;NA;NA;NA;8,72E-03
-0,07;0,92;0,97;1,01;0,57;2,24E-01;NA;NA;NA;8,72E-03
0,02;0,01;0,02;0,98;0,06;3,26E-17;9,14E-06;NA;NA;1,09E-06
0,00;0,37;0,32;1,00;0,41;5,70E-17;NA;NA;NA;1,09E-06
0,00;0,41;0,34;1,00;0,53;3,97E-14;NA;NA;NA;1,09E-06
0,02;0,00;0,01;0,98;0,04;3,70E-24;3,91E-19;NA;NA;2,75E-16
0,00;0,52;0,43;1,00;0,66;3,70E-24;NA;NA;NA;2,75E-16
0,00;0,53;0,45;1,00;0,63;3,70E-24;NA;NA;NA;2,75E-16
0,00;0,54;0,4;1,02;0,83;4,71E-03;3,40E-08;NA;NA;5,58E-04
0,00;0,38;0,26;1,02;0,77;4,58E-03;NA;NA;NA;5,58E-04
-0,01;0,81;0,76;1,03;0,91;2,06E-02;NA;NA;NA;5,58E-04
0,05;0,04;0,04;0,97;0,26;1,12E-02;2,01E-03;NA;NA;3,43E-02
0,00;0,35;0,25;1,01;0,64;2,94E-02;NA;NA;NA;3,43E-02
-0,03;0,68;0,63;1,03;0,72;9,90E-01;NA;NA;NA;3,43E-02
0,02;0,00;0,01;0,98;0,02;3,70E-24;2,75E-14;NA;NA;1,99E-11
0,00;0,48;0,43;1,00;0,59;3,70E-24;NA;NA;NA;1,99E-11
0,00;0,63;0,58;1,01;0,71;3,70E-24;NA;NA;NA;1,99E-11
0,03;0,00;0,01;0,98;0,00;3,70E-24;3,29E-13;NA;NA;4,57E-15
0,00;0,50;0,44;1,01;0,75;3,70E-24;NA;NA;NA;4,57E-15
0,00;0,62;0,60;1,01;0,81;3,70E-24;NA;NA;NA;4,57E-15
0,01;0,09;0,09;1,01;0,79;5,48E-10;1,40E-03;NA;NA;2,70E-13
0,00;0,34;0,27;1,02;0,90;1,92E-09;NA;NA;NA;2,70E-13
0,00;0,46;0,39;1,02;0,93;3,55E-09;NA;NA;NA;2,70E-13
-0,01;0,60;0,60;1,01;0,63;2,71E-07;4,83E-06;NA;NA;2,49E-01
0,00;0,41;0,36;1,00;0,53;3,35E-07;NA;NA;NA;2,49E-01
-0,01;0,84;0,85;1,00;0,59;2,95E-04;NA;NA;NA;2,49E-01
0,03;0,00;0,02;1,00;0,40;1,01E-05;8,62E-09;NA;NA;2,50E-09
0,00;0,44;0,38;1,03;0,94;4,44E-05;NA;NA;NA;2,50E-09
-0,01;0,71;0,65;1,03;0,93;1,57E-02;NA;NA;NA;2,50E-09
-0,02;0,72;0,70;1,01;0,58;1,26E-02;5,25E-01;NA;NA;1,11E-01
-0,02;0,56;0,49;0,99;0,38;4,91E-04;NA;NA;NA;1,11E-01
-0,03;0,82;0,82;1,01;0,59;2,60E-01;NA;NA;NA;1,11E-01
