Subset;Area;Dimensione;k_best;Moran_I_strict;p_strict;Moran_I_border;p_border
Grande_Centro;Centro;Grande;40;-0,01;0,64;0,00;0,61
Media_Centro;Centro;Media;52;0,00;0,47;0,00;0,51
Micro_Centro;Centro;Micro;12;0,14;0,00;0,14;0,00
Piccola_Centro;Centro;Piccola;46;0,02;0,00;0,02;0,00
Grande_Isole;Isole;Grande;26;-0,01;0,46;-0,01;0,46
Media_Isole;Isole;Media;18;0,03;0,02;0,03;0,02
Micro_Isole;Isole;Micro;29;-0,03;0,50;-0,09;0,78
Piccola_Isole;Isole;Piccola;24;0,04;0,00;0,04;0,00
Grande_Nord-Est;Nord-Est;Grande;26;0,01;0,19;0,00;0,29
Media_Nord-Est;Nord-Est;Media;42;0,01;0,00;0,01;0,00
Micro_Nord-Est;Nord-Est;Micro;34;-0,02;0,82;-0,03;0,84
Piccola_Nord-Est;Nord-Est;Piccola;48;0,01;0,04;0,01;0,06
Grande_Nord-Ovest;Nord-Ovest;Grande;56;0,01;0,01;0,01;0,01
Media_Nord-Ovest;Nord-Ovest;Media;56;0,00;0,04;0,00;0,07
Micro_Nord-Ovest;Nord-Ovest;Micro;16;0,03;0,05;0,03;0,05
Piccola_Nord-Ovest;Nord-Ovest;Piccola;24;0,01;0,03;0,01;0,04
Grande_Sud;Sud;Grande;18;-0,02;0,88;-0,01;0,74
Media_Sud;Sud;Media;38;-0,01;0,91;-0,01;0,91
Micro_Sud;Sud;Micro;12;-0,02;0,53;-0,01;0,47
Piccola_Sud;Sud;Piccola;26;0,01;0,04;0,01;0,05
