Subset;agree_LISA;agree_Gi
Micro_Nord-Est;1;0,98
Piccola_Nord-Est;0,99;0,98
Media_Nord-Est;0,99;0,98
Grande_Nord-Est;0,99;0,98
Micro_Nord-Ovest;0,98;0,98
Piccola_Nord-Ovest;0,99;0,98
Media_Nord-Ovest;1,00;0,99
Grande_Nord-Ovest;0,99;0,99
Micro_Sud;1,00;1,00
Piccola_Sud;0,99;0,98
Media_Sud;1,00;0,99
Grande_Sud;0,99;0,97
Micro_Centro;0,98;0,97
Piccola_Centro;0,99;0,97
Media_Centro;0,99;0,98
Grande_Centro;0,99;0,99
Micro_Isole;0,07;0,00
Piccola_Isole;0,99;0,97
Media_Isole;0,99;0,98
Grande_Isole;0,99;0,98
