Subset;Area;Dimensione;n;k_best;model;AIC;Moran_resid_p;BP_p;AD_p;best_by_AIC
Micro_Nord-Est;Nord-Est;Micro;128;40;OLS;148,5;0,76;0,28;0,117;FALSO
Micro_Nord-Est;Nord-Est;Micro;128;40;SAR(err);148,31;0,41;;0,116;VERO
Micro_Nord-Est;Nord-Est;Micro;128;40;SDM(mix);155,05;0,82;;0,659;FALSO
Micro_Nord-Est;Nord-Est;Micro;128;40;GMM(err);;0,81;;0,155;FALSO
Piccola_Nord-Est;Nord-Est;Piccola;2541;48;OLS;1864,66;0;0;3,70E-24;FALSO
Piccola_Nord-Est;Nord-Est;Piccola;2541;48;SAR(err);1851,51;0,52;;3,70E-24;FALSO
Piccola_Nord-Est;Nord-Est;Piccola;2541;48;SDM(mix);1846,8;0,42;;3,70E-24;VERO
Piccola_Nord-Est;Nord-Est;Piccola;2541;48;GMM(err);;0;;3,70E-24;FALSO
Media_Nord-Est;Nord-Est;Media;3704;46;OLS;2913,25;0;0;3,70E-24;FALSO
Media_Nord-Est;Nord-Est;Media;3704;46;SAR(err);2875,6;0,61;;3,70E-24;FALSO
Media_Nord-Est;Nord-Est;Media;3704;46;SDM(mix);2872,48;0,52;;3,70E-24;VERO
Media_Nord-Est;Nord-Est;Media;3704;46;GMM(err);;0;;3,70E-24;FALSO
Grande_Nord-Est;Nord-Est;Grande;929;26;OLS;877,95;0,18;0;3,70E-24;VERO
Grande_Nord-Est;Nord-Est;Grande;929;26;SAR(err);879,41;0,45;;3,70E-24;FALSO
Grande_Nord-Est;Nord-Est;Grande;929;26;SDM(mix);878,93;0,5;;3,70E-24;FALSO
Grande_Nord-Est;Nord-Est;Grande;929;26;GMM(err);;0,16;;3,70E-24;FALSO
Micro_Nord-Ovest;Nord-Ovest;Micro;190;16;OLS;203,43;0,42;0,08;0,0327;VERO
Micro_Nord-Ovest;Nord-Ovest;Micro;190;16;SAR(err);205,43;0,41;;0,0331;FALSO
Micro_Nord-Ovest;Nord-Ovest;Micro;190;16;SDM(mix);208,99;0,78;;0,461;FALSO
Micro_Nord-Ovest;Nord-Ovest;Micro;190;16;GMM(err);;0,44;;0,0317;FALSO
Piccola_Nord-Ovest;Nord-Ovest;Piccola;3403;24;OLS;2275,1;0;0;3,70E-24;FALSO
Piccola_Nord-Ovest;Nord-Ovest;Piccola;3403;24;SAR(err);2266,16;0,46;;3,70E-24;VERO
Piccola_Nord-Ovest;Nord-Ovest;Piccola;3403;24;SDM(mix);2276,02;0,48;;3,70E-24;FALSO
