Subset;Area;Dimensione;n;k_best;AIC_OLS;AIC_SDM;DeltaAIC_OLS_SDM;MoranResidui_SDM_I;MoranResidui_SDM_p;GWR_Eseguita
Micro_Nord-Est;Nord-Est;Micro;128;40;148,50;155,05;-6,56;-2,09E-02;0,82;FALSE
Piccola_Nord-Est;Nord-Est;Piccola;2541;48;1864,66;1846,80;17,86;4,00E-04;0,42;FALSE
Media_Nord-Est;Nord-Est;Media;3704;46;2913,25;2872,48;40,77;-4,30E-04;0,52;FALSE
Grande_Nord-Est;Nord-Est;Grande;929;26;877,95;878,93;-0,98;-9,70E-04;0,50;FALSE
Micro_Nord-Ovest;Nord-Ovest;Micro;190;16;203,43;208,99;-5,56;-2,21E-02;0,78;FALSE
Piccola_Nord-Ovest;Nord-Ovest;Piccola;3403;24;2275,10;2276,02;-0,93;-4,00E-05;0,48;FALSE
Media_Nord-Ovest;Nord-Ovest;Media;4708;56;3752,55;3701,49;51,06;-1,11E-03;0,64;FALSE
Grande_Nord-Ovest;Nord-Ovest;Grande;1368;56;1561,21;1555,69;5,52;-1,00E-04;0,44;FALSE
Micro_Sud;Sud;Micro;74;12;70,02;56,87;13,16;-6,75E-02;0,92;FALSE
Piccola_Sud;Sud;Piccola;1108;26;967,37;967,69;-0,32;8,50E-04;0,41;FALSE
Media_Sud;Sud;Media;1394;52;1435,97;1437,48;-1,50;-1,13E-03;0,53;FALSE
Grande_Sud;Sud;Grande;305;52;398,51;409,63;-11,13;-1,14E-02;0,81;FALSE
Micro_Centro;Centro;Micro;104;12;85,28;93,91;-8,63;-2,55E-02;0,68;FALSE
Piccola_Centro;Centro;Piccola;1641;52;1493,13;1487,41;5,72;-2,03E-03;0,63;FALSE
Media_Centro;Centro;Media;2101;36;2396,09;2378,71;17,38;-1,89E-03;0,62;FALSE
Grande_Centro;Centro;Grande;509;40;796,36;806,97;-10,62;-1,16E-03;0,46;FALSE
Piccola_Isole;Isole;Piccola;375;32;353,80;353,64;0,16;-1,39E-02;0,84;FALSE
Media_Isole;Isole;Media;440;26;519,03;509,39;9,64;-8,78E-03;0,71;FALSE
Grande_Isole;Isole;Grande;83;26;121,20;113,22;7,98;-3,16E-02;0,82;FALSE
